op_type,op_name,routing_mode,error,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,capacity_ops_s,payload_bytes,throughput_bps,cpu_percent,system_mem_mb,frr_total_mb
host,h88,ospf,,114.0,68.03,73.7,69.36,73.7,13.66,105.0,11473.54,6.8,1800.47,568.97
host,h89,ospf,,115.0,64.66,74.87,69.82,74.87,13.36,105.0,11226.82,0.0,1796.9,568.97
host,h90,ospf,,116.0,67.42,74.16,69.54,74.16,13.51,105.0,11349.29,8.97,1795.57,569.17
router,r27,ospf,,117.0,329.17,349.16,331.23,351.68,2.85,889.0,20293.34,12.33,1876.3,582.7
host,h91,ospf,,118.0,70.36,73.34,68.8,73.65,13.59,105.0,11416.85,10.2,1834.37,588.0
host,h92,ospf,,119.0,67.65,78.75,73.43,78.75,12.73,105.0,10697.13,9.7,1827.23,588.0
router,r28,ospf,,120.0,332.41,342.29,330.11,349.67,2.86,889.0,20373.2,5.03,1894.27,599.0
host,h93,ospf,,121.0,69.55,75.0,69.96,75.0,13.34,105.0,11207.53,7.53,1845.1,606.93
host,h94,ospf,,122.0,63.56,72.49,67.34,72.49,13.81,105.0,11600.25,6.73,1838.8,606.93
host,h95,ospf,,123.0,66.88,75.16,70.63,75.16,13.3,105.0,11176.59,2.8,1833.97,606.93
host,h96,ospf,,124.0,69.11,76.28,71.87,76.28,13.13,105.0,11025.3,5.93,1828.77,607.1
router,r29,ospf,,125.0,337.42,339.33,323.84,347.96,2.88,751.0,17303.23,12.47,1898.43,622.93
host,h97,ospf,,126.0,72.04,79.49,74.96,79.49,12.58,105.0,10568.88,10.23,1855.23,625.7
host,h98,ospf,,127.0,67.49,75.35,70.85,75.35,13.27,105.0,11148.48,10.7,1850.87,625.7
router,r30,ospf,,128.0,339.81,347.26,334.52,363.06,2.78,751.0,16683.99,8.03,1950.47,632.97
