op_type,op_name,routing_mode,error,n_nodes,t_local_ms,t_network_ms,t_twin_ms,t_total_ms,capacity_ops_s,payload_bytes,throughput_bps,cpu_percent,system_mem_mb,frr_total_mb
host,h74,manual,,95.0,60.62,67.87,63.13,68.29,14.77,105.0,12407.65,9.0,1484.17,122.67
router,r22,manual,,96.0,105.51,124.81,118.14,124.81,8.04,751.0,48324.76,8.37,1486.27,122.63
host,h75,manual,,97.0,61.16,65.58,60.89,66.24,15.15,105.0,12727.39,10.67,1486.73,122.73
host,h76,manual,,98.0,57.58,65.51,60.91,65.51,15.3,105.0,12851.13,6.23,1487.7,122.73
router,r23,manual,,99.0,110.13,123.41,117.01,123.41,8.1,889.0,57647.91,2.93,1488.4,122.67
host,h77,manual,,100.0,58.47,65.15,60.71,65.15,15.39,105.0,12930.04,10.27,1489.27,122.73
host,h78,manual,,101.0,61.32,67.3,62.55,67.3,14.88,105.0,12499.86,6.13,1489.7,122.77
router,r24,manual,,102.0,109.85,119.15,113.91,119.15,8.41,889.0,59787.69,6.0,1496.77,122.7
host,h79,manual,,103.0,59.66,65.69,61.09,65.69,15.29,105.0,12842.58,10.47,1498.2,122.8
host,h80,manual,,104.0,59.53,67.07,62.5,67.07,14.94,105.0,12549.78,5.83,1499.63,122.8
host,h81,manual,,105.0,59.34,70.38,65.77,70.38,14.24,105.0,11956.84,8.47,1499.93,122.8
host,h82,manual,,106.0,61.49,69.35,64.59,69.35,14.42,105.0,12119.02,4.63,1500.27,122.8
host,h83,manual,,107.0,58.9,70.8,66.08,70.8,14.13,105.0,11866.19,7.6,1499.97,122.8
host,h84,manual,,108.0,61.14,68.44,63.63,68.44,14.62,105.0,12282.43,7.8,1501.27,122.8
router,r25,manual,,109.0,122.79,126.44,120.85,129.91,7.73,1284.0,79356.5,8.03,1501.97,122.83
host,h85,manual,,110.0,62.78,70.02,65.37,70.02,14.3,105.0,12013.64,7.7,1502.93,122.9
host,h86,manual,,111.0,62.93,67.16,62.61,67.16,14.89,105.0,12509.4,9.03,1505.37,122.9
router,r26,manual,,112.0,114.43,123.57,118.5,124.4,8.05,1284.0,82671.37,5.97,1509.5,122.83
host,h87,manual,,113.0,62.73,70.52,65.96,70.52,14.22,105.0,11947.9,10.47,1510.13,122.93
host,h88,manual,,114.0,63.72,72.49,67.75,72.49,13.81,105.0,11600.82,9.43,1510.73,122.93
host,h89,manual,,115.0,65.0,68.8,64.04,68.8,14.54,105.0,12215.53,3.3,1511.7,122.93
host,h90,manual,,116.0,64.64,70.27,65.8,70.27,14.24,105.0,11964.21,7.5,1511.87,122.93
router,r27,manual,,117.0,114.64,123.33,118.01,123.36,8.11,889.0,57675.25,7.97,1507.1,122.93
host,h91,manual,,118.0,65.28,70.91,66.26,70.91,14.12,105.0,11859.84,7.5,1507.6,122.93
host,h92,manual,,119.0,64.82,71.82,67.28,71.82,13.94,105.0,11711.57,6.03,1509.4,122.93
router,r28,manual,,120.0,114.57,130.43,124.79,130.43,7.72,889.0,54906.94,3.17,1516.0,122.73
host,h93,manual,,121.0,65.04,72.85,67.97,72.85,13.73,105.0,11531.27,9.63,1516.9,122.77
host,h94,manual,,122.0,68.05,70.56,66.28,70.56,14.18,105.0,11909.62,3.9,1517.53,122.83
host,h95,manual,,123.0,65.74,79.64,74.91,79.64,12.57,105.0,10560.42,2.5,1518.1,122.83
host,h96,manual,,124.0,67.06,71.93,67.4,71.93,13.91,105.0,11682.57,7.23,1519.53,122.83
router,r29,manual,,125.0,110.11,119.46,112.74,120.61,8.32,751.0,49968.32,8.07,1524.73,122.73
host,h97,manual,,126.0,68.19,74.05,69.46,74.05,13.53,105.0,11366.69,6.8,1525.63,122.8
host,h98,manual,,127.0,67.87,73.05,68.51,73.05,13.71,105.0,11518.31,9.9,1526.47,122.8
router,r30,manual,,128.0,115.12,129.43,123.42,129.43,7.75,751.0,46559.87,0.0,1527.43,122.77
